band,species,beak_length_mm,beak_depth_mm,year
2,fortis,9.4,8,1975
9,fortis,9.2,8.3,1975
12,fortis,9.5,7.5,1975
15,fortis,9.5,8,1975
305,fortis,11.5,9.9,1975
307,fortis,11.1,8.6,1975
308,fortis,9.9,8.4,1975
309,fortis,11.5,9.8,1975
311,fortis,10.8,9.2,1975
312,fortis,11.3,9,1975
313,fortis,11.5,9.5,1975
314,fortis,11.5,8.9,1975
315,fortis,9.7,8.8,1975
316,fortis,10.9,9.7,1975
316,fortis,10.9,9.85,1975
320,fortis,10.1,8.9,1975
321,fortis,10.6,8.5,1975
323,fortis,9.6,8.2,1975
324,fortis,10.3,9.3,1975
326,fortis,10.5,9.1,1975
328,fortis,10.5,8.8,1975
329,fortis,10.9,9.4,1975
330,fortis,11.2,9.6,1975
340,fortis,9.4,8.5,1975
341,fortis,10.1,8.1,1975
342,fortis,9.6,8,1975
343,fortis,10.5,9.7,1975
344,fortis,9.9,8.2,1975
345,fortis,9.9,8.4,1975
346,fortis,9.6,7.9,1975
347,fortis,10.7,9.3,1975
348,fortis,11.8,10.5,1975
349,fortis,10.2,9.7,1975
350,fortis,10.9,9.6,1975
352,fortis,9.3,7.7,1975
354,fortis,11.6,9.8,1975
355,fortis,11.2,9.8,1975
356,fortis,10.1,8.5,1975
360,fortis,10.7,9.2,1975
366,fortis,11,10.1,1975
368,fortis,10.8,9,1975
369,fortis,10.2,9,1975
401,fortis,10.8,9.4,1975
402,fortis,10.4,8.8,1975
403,fortis,11.2,9.9,1975
405,fortis,11.4,9.9,1975
410,fortis,10.9,8.9,1975
411,fortis,10.4,9.4,1975
413,fortis,9.7,8.2,1975
414,fortis,10.2,8.2,1975
415,fortis,9.2,8.1,1975
416,fortis,10.1,8.4,1975
417,fortis,11,10.1,1975
418,fortis,10.3,8.6,1975
419,fortis,10.2,8.5,1975
420,fortis,11,9.7,1975
422,fortis,11,10.3,1975
423,fortis,10.1,8.6,1975
424,fortis,10.7,9.3,1975
425,fortis,10.7,8.9,1975
426,fortis,11,9.7,1975
427,fortis,12,10.2,1975
428,fortis,11.6,10.2,1975
450,fortis,9.9,8.5,1975
451,fortis,10.8,8.8,1975
452,fortis,10.5,8.9,1975
453,fortis,10,8.7,1975
454,fortis,9.6,9.3,1975
455,fortis,11,9.7,1975
456,fortis,10.2,9.6,1975
457,fortis,9.7,7.85,1975
458,fortis,11.1,9.6,1975
459,fortis,10.4,9.3,1975
461,fortis,11.1,9.8,1975
462,fortis,10.2,8.8,1975
463,fortis,10.3,9.1,1975
465,fortis,9.9,9,1975
466,fortis,11,10.4,1975
468,fortis,10.8,9,1975
473,fortis,10.5,9.5,1975
474,fortis,10.5,8.7,1975
475,fortis,11.2,9.6,1975
476,fortis,11.2,9.4,1975
477,fortis,11.7,9.5,1975
479,fortis,10.5,8.6,1975
501,fortis,10.5,9.9,1975
502,fortis,11.2,9.4,1975
503,fortis,10,9.1,1975
504,fortis,10.4,8.6,1975
505,fortis,10.8,9.3,1975
506,fortis,11.1,9.2,1975
507,fortis,10.3,8.8,1975
509,fortis,11.1,9.2,1975
510,fortis,9.8,8.3,1975
511,fortis,10.5,8.8,1975
512,fortis,11,9.4,1975
513,fortis,11.2,10.4,1975
514,fortis,9.8,8.5,1975
515,fortis,9.8,7.9,1975
516,fortis,9.8,7.9,1975
517,fortis,10.3,10.1,1975
518,fortis,11.3,9.8,1975
519,fortis,10,8.3,1975
520,fortis,11.1,9.4,1975
521,fortis,10,9,1975
